user_id,session_id,timestamp,page,action_type,duration_sec
u0001,s1409,2025-03-08T08:08:57,/help,click_button,48
u0001,s1409,2025-03-08T08:12:25,/home,scroll,32
u0001,s1409,2025-03-08T08:08:02,/home,click_button,18
u0001,s1409,2025-03-08T08:09:45,/reports,scroll,6
u0001,s1409,2025-03-08T08:12:33,/dashboard,scroll,31
u0001,s1409,2025-03-08T08:09:38,/billing,scroll,22
u0001,s1409,2025-03-08T08:07:49,/login,nav_click,49
u0001,s1409,2025-03-08T08:11:22,/settings,form_submit,14
u0001,s1409,2025-03-08T08:09:36,/login,form_submit,11
u0002,s7224,2025-03-12T12:33:47,/login,click_button,51
u0002,s7224,2025-03-12T12:35:27,/reports,click_button,29
u0002,s7224,2025-03-12T12:32:12,/reports,form_submit,58
u0002,s7224,2025-03-12T12:34:37,/reports,nav_click,50
u0002,s7224,2025-03-12T12:32:07,/home,nav_click,54
u0002,s7224,2025-03-12T12:34:00,/home,nav_click,60
u0003,s7227,2025-03-15T23:11:56,/dashboard,form_submit,27
u0003,s7227,2025-03-15T23:10:37,/help,form_submit,49
u0003,s7227,2025-03-15T23:09:26,/reports,nav_click,39
u0003,s7227,2025-03-15T23:10:55,/dashboard,hover,29
u0003,s7227,2025-03-15T23:11:08,/help,scroll,19
u0003,s7227,2025-03-15T23:11:36,/login,click_button,19
u0003,s7227,2025-03-15T23:09:06,/login,form_submit,30
u0003,s7227,2025-03-15T23:11:07,/home,nav_click,41
u0003,s7227,2025-03-15T23:11:31,/dashboard,hover,30
u0004,s3340,2025-03-05T09:03:42,/reports,form_submit,52
u0004,s3340,2025-03-05T09:02:34,/reports,hover,28
u0004,s3340,2025-03-05T09:00:47,/dashboard,scroll,36
u0004,s3340,2025-03-05T08:59:41,/login,click_button,60
u0004,s3340,2025-03-05T08:59:51,/dashboard,nav_click,55
u0004,s3340,2025-03-05T09:02:31,/reports,click_button,29
u0004,s3340,2025-03-05T09:02:10,/reports,hover,38
u0004,s3340,2025-03-05T09:01:03,/reports,click_button,48
u0004,s3340,2025-03-05T08:59:53,/help,scroll,53
u0004,s5371,2025-03-11T04:06:21,/billing,nav_click,34
u0004,s5371,2025-03-11T04:03:52,/help,form_submit,37
u0004,s5371,2025-03-11T04:05:22,/reports,click_button,60
u0004,s5371,2025-03-11T04:06:23,/login,scroll,43
u0004,s5371,2025-03-11T04:05:32,/dashboard,form_submit,53
u0004,s5371,2025-03-11T04:05:13,/reports,scroll,5
u0004,s5371,2025-03-11T04:06:36,/billing,click_button,12
u0004,s5371,2025-03-11T04:06:56,/login,form_submit,20
u0004,s5371,2025-03-11T04:04:20,/dashboard,scroll,10
u0004,s5371,2025-03-11T04:04:34,/help,hover,57
u0004,s5371,2025-03-11T04:04:26,/login,scroll,54
u0004,s5371,2025-03-11T04:04:55,/dashboard,hover,40
u0004,s5371,2025-03-11T04:05:15,/settings,scroll,60
u0004,s5371,2025-03-11T04:07:27,/dashboard,scroll,53
u0004,s5371,2025-03-11T04:05:33,/help,form_submit,30
u0004,s7118,2025-03-29T18:54:40,/home,nav_click,19
u0004,s7118,2025-03-29T18:51:21,/settings,click_button,42
u0004,s7118,2025-03-29T18:55:32,/dashboard,scroll,19
u0004,s7118,2025-03-29T18:50:52,/home,click_button,19
u0004,s7118,2025-03-29T18:51:23,/home,form_submit,9
u0004,s7118,2025-03-29T18:55:12,/dashboard,form_submit,47
